Blog	four	here	want	how	re	best	and	things	had	right	old	people	for	time	so	years	one	take	going	where	many	s	being	around	world	her	with	an	as	at	to	th	full	more	company	its	really	also	see	d	be	by	into	up	us	video	great	next	this	could	should	ve	does	much	work	after	then	them	they	another	do	we	com	has	the	night	post	way	was	can	not	now	year	that	than	only	these	media	read	t	your	you	very	a	both	while	some	she	well	he	even	new	off	before	better	don	m	said	three	is	it	in	if	make	just	down	did	may	nbsp	thing	think	first	little	were	show	get	different	same	money	two	through	good	most	big	back	ll	day	have	like	about	but	every	would	me	my	over	each	days	been	why	no	when	today	any	come	week	on	of	or	there	all	what	health	story	i	his	are	long	once	find	use	from	few	something	own	our	out	their	which	who	last	will	know	because	made	other
	0	0	0	0	1	0	9	1	1	0	0	1	6	0	1	0	0	0	0	1	1	25	1	0	0	7	7	1	6	1	17	1	1	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	1	1	0	3	20	2	1	0	2	0	0	0	1	7	3	0	1	5	0	0	0	0	0	13	0	0	0	2	0	0	1	2	0	0	0	0	0	0	1	3	5	5	1	0	2	0	0	0	11	0	0	0	0	3	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	15	16	0	1	1	1	3	0	1	2	1	0	0	0	0	2	0	1	0	0	1	1	0	2	0	0	0	0	1	0
Schneier on Security	0	0	0	1	0	0	10	1	1	0	0	1	9	0	0	1	1	0	0	1	0	11	0	0	0	0	1	3	1	1	17	0	0	3	8	1	1	0	0	0	1	3	1	1	1	3	0	0	3	1	0	0	0	1	0	0	0	0	1	2	1	1	0	4	28	0	0	0	2	4	2	1	0	7	2	0	1	0	1	2	0	2	0	15	1	0	0	0	0	2	0	0	0	0	2	1	0	0	1	1	8	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	8	1	2	1	0	1	0	0	1	0	0	3	1	0	0	0	1	0	0	3	16	4	1	2	1	0	0	2	0	0	0	1	0	1	7	1	0	0	0	0	1	1	0	0	0	0	0	0	0
Search Engine Roundtable	0	2	0	0	0	0	9	0	0	0	0	0	5	0	1	0	6	0	0	1	1	2	1	0	0	0	4	1	1	0	8	0	0	3	0	0	0	0	1	0	1	2	3	2	2	1	0	0	3	0	1	0	0	0	0	0	0	0	3	1	1	3	0	2	32	0	1	0	3	1	2	3	0	7	0	0	0	0	0	0	1	10	0	16	0	0	4	2	1	0	1	0	0	0	0	0	0	0	0	9	2	11	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	2	1	1	0	0	0	0	1	0	1	0	0	0	0	3	4	0	1	2	7	10	2	1	1	3	0	0	1	0	2	0	0	0	2	2	0	1	0	0	3	0	2	1	0	2	0	1	0	1
Copyblogger	0	1	0	12	3	0	27	2	0	6	0	6	10	3	4	1	5	0	0	0	1	8	1	1	1	0	6	4	3	4	25	0	0	15	1	1	0	0	2	0	0	2	3	2	2	0	1	4	5	2	2	0	1	1	1	0	2	1	4	1	3	7	2	2	40	0	10	2	1	3	5	0	0	9	0	1	0	0	12	3	14	12	0	24	0	2	2	3	0	5	1	2	0	0	1	2	0	0	1	6	4	9	2	2	2	0	0	0	0	5	0	10	0	0	3	1	1	0	0	1	1	4	0	2	1	3	0	1	0	0	1	0	0	1	2	1	0	0	1	0	0	2	3	0	0	2	17	12	9	4	1	0	0	5	4	1	3	0	0	4	0	6	0	1	1	2	1	0	0	0	0	0	3	1	0	1
PerezHilton	1	2	0	0	1	0	7	1	0	0	1	1	3	0	1	0	3	0	1	1	0	11	1	0	2	8	13	2	7	0	8	1	2	3	0	0	0	0	1	0	4	2	0	4	2	0	0	0	5	0	0	0	0	0	0	5	0	0	1	0	0	5	0	2	39	4	0	1	7	3	1	0	3	8	2	1	0	0	0	5	2	8	0	16	0	2	2	3	0	0	2	1	2	1	0	2	0	0	0	7	4	7	0	0	3	0	1	3	0	0	1	0	2	1	2	2	0	0	0	1	0	2	2	2	1	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	2	2	0	0	0	2	12	23	1	1	2	2	2	0	0	1	2	1	0	0	0	2	0	0	0	0	3	2	2	2	1	1	0	0	1	1
Engadget RSS Feed	0	1	1	0	3	1	29	0	0	0	0	1	13	1	2	1	4	1	2	1	0	27	0	4	2	0	14	6	4	2	43	2	1	3	3	6	1	1	0	2	1	1	2	5	1	3	2	0	2	1	1	1	0	0	0	2	1	1	2	2	0	4	0	12	62	0	0	2	3	7	2	5	4	13	0	1	1	0	0	6	6	13	2	40	0	2	3	0	1	1	0	9	1	0	0	1	0	3	1	5	16	25	3	2	1	0	1	2	0	0	0	4	0	2	0	3	0	1	1	1	0	0	0	2	0	2	0	11	2	4	9	0	0	0	0	5	2	2	8	0	3	3	3	0	0	1	13	24	5	1	5	1	0	0	1	1	2	1	0	1	2	4	1	0	2	0	7	3	0	2	0	4	1	1	3	1
ThinkProgress - Medium	3	4	6	5	3	2	180	6	7	3	1	29	78	13	10	9	22	11	2	13	7	121	5	2	1	47	41	29	59	40	236	0	4	29	2	9	8	22	8	10	53	40	16	16	7	1	2	3	60	12	14	4	11	10	9	9	7	12	23	2	9	34	3	36	468	2	3	9	34	15	39	5	10	162	19	7	18	5	12	33	2	15	4	178	5	11	12	45	4	17	16	21	6	9	4	10	8	32	1	106	64	143	23	14	13	3	6	4	10	3	2	6	3	13	2	5	3	12	6	9	4	2	11	2	4	4	10	41	11	25	28	4	17	4	3	10	3	3	17	4	10	11	2	7	4	6	65	228	32	9	24	16	13	27	27	8	62	5	2	4	6	40	2	5	2	16	18	40	21	28	8	26	1	15	6	12
ProBlogger	14	56	165	180	116	17	658	110	50	35	19	159	430	201	73	45	159	39	74	91	67	475	25	37	9	9	257	110	306	187	1468	11	28	111	1	4	173	115	52	24	244	72	90	132	74	3	46	27	307	80	22	211	34	40	98	23	73	182	225	44	290	409	9	76	1181	8	191	60	133	223	79	37	70	1099	25	18	44	34	26	158	362	834	50	1030	19	11	210	16	190	55	44	72	10	41	47	77	139	14	28	423	668	519	141	56	114	36	47	25	7	87	82	90	116	30	24	203	36	19	34	55	32	51	63	16	69	73	36	276	103	211	173	62	74	148	274	92	22	54	60	19	13	119	103	29	54	37	419	999	213	209	121	195	3	12	1179	22	202	68	19	34	70	189	47	75	12	180	87	72	61	89	59	104	85	64	3	109
mezzoblue	0	1	0	2	1	0	3	0	0	1	1	0	2	0	1	2	2	1	1	1	0	7	0	0	0	0	4	2	3	0	10	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	3	0	2	5	1	1	1	0	0	2	0	0	0	0	0	1	17	0	0	3	2	1	2	1	0	8	0	0	1	0	0	4	0	6	0	16	0	1	1	0	1	0	0	3	1	0	0	0	1	0	0	2	7	2	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	5	0	0	2	3	3	0	0	3	0	0	2	2	1	1	1	5	10	1	0	1	1	0	0	13	0	0	2	0	0	1	1	1	0	1	1	2	0	1	0	1	0	0	0	0	0
ShoeMoney	0	20	1	2	1	5	78	1	3	0	1	7	27	3	9	14	8	2	4	1	2	20	2	2	2	0	28	6	17	13	65	2	0	5	4	3	4	4	3	1	0	5	2	2	19	1	5	1	13	1	1	1	0	2	4	2	4	1	10	1	4	8	3	15	98	0	2	0	10	11	8	6	2	17	2	3	0	5	2	12	4	27	1	61	0	4	6	0	5	18	3	2	1	2	0	7	1	3	1	36	20	29	5	3	5	1	0	0	0	0	1	5	0	4	35	5	3	2	3	1	2	1	2	4	1	0	3	37	4	11	10	1	4	7	12	6	3	1	12	2	2	7	19	3	13	0	35	38	1	6	4	8	2	0	66	5	10	0	3	2	0	5	5	4	0	3	7	8	1	3	1	1	4	2	0	7
